id,title,slug,category,short_description,image,prep_time,cook_time,servings,ingredients,instructions,health_note,benefits,source,tags
11,Sprouts Salad,sprouts-salad,Snacks,Crunchy and fresh protein-rich sprouts salad.,,10 min,None,Father – 1/2 cup; Mother – 1/2 cup; Daughter – 1/2 cup; Son – 3/4 cup,"1 cup mixed sprouts||1 onion (chopped)||1 tomato (chopped)||1 green chili (chopped, optional)||1 tbsp lemon juice||Salt to taste","1. Mix sprouts, onion, tomato, chili.||2. Add lemon juice, salt, and toss.||3. Serve fresh.",Father: Less salt. Son: Full seasoning.,High protein and fiber; aids immunity.,Sprouts Salad YouTube,"sprouts,healthy,salad"
12,Red Aval Snack,red-aval-snack,Snacks,Savory red poha mix lightly tempered with spices and coconut.,,10 min,5 min,Father – 1/2 cup; Mother – 1/2 cup; Daughter – 1/2 cup; Son – 3/4 cup,1 cup red poha||2 tbsp grated coconut||1 tbsp jaggery||1 tsp mustard seeds||Curry leaves||Oil for tempering,"1. Roast poha lightly.||2. Heat oil, add mustard and curry leaves.||3. Add jaggery, mix poha and coconut.||4. Serve warm.",Father: Less jaggery/oil. Son: Full amounts.,"Energy-rich, high in fiber and antioxidants.",Red Aval Snack YouTube Shorts,"poha,snack,quick"
13,Oats Dates Dark Chocolate Bar,oats-dates-dark-chocolate-bar,Snacks,"No-bake bars made with oats, dates, and dark chocolate.",,15 min,None,Father – 1 bar; Mother – 1 bar; Daughter – 1 bar; Son – 1 bar,1 cup oats||6 dates||2 tbsp dark chocolate chips||1 tbsp flaxseeds,"1. Blend dates to paste.||2. Mix with oats, flaxseeds, chocolate.||3. Press in tray and refrigerate 1 hour; cut into bars.","Father & Son: Naturally sweetened, nutrient dense.","High fiber, antioxidants, no refined sugar.",Oats Dates Dark Chocolate YouTube Shorts,"oats,darkchocolate,snack"
14,Banana Wrap,banana-wrap,Snacks,Whole wheat wraps filled with banana and light honey.,,5 min,None,Father – 1 wrap; Mother – 1 wrap; Daughter – 1 wrap; Son – 2 wraps,4 whole wheat chapatis||2 ripe bananas||Honey or jaggery (optional)||Cinnamon powder (optional),"1. Place banana on chapati, drizzle honey, sprinkle cinnamon.||2. Roll tightly and serve.",Father: Skip honey. Son: Full sweetness allowed.,Quick energy from banana and whole grains.,Banana Wrap YouTube,"banana,wrap,snack"
15,Low Fat Curd,low-fat-curd,Snacks,Homemade curd with low-fat milk for a probiotic-rich snack.,,5 min,6-8 hr (setting),Father – 1 cup; Mother – 1 cup; Daughter – 1 cup; Son – 1 cup,1 liter low-fat milk||2 tbsp curd starter,"1. Boil milk, cool to lukewarm.||2. Mix starter with milk.||3. Keep warm 6-8 hrs to set; refrigerate.","Rich probiotic, aids digestion, heart friendly.",Aids gut health; low in fat.,Low Fat Curd YouTube,"curd,probiotic,dairy"
16,Buttermilk,buttermilk,Drinks,Cooling traditional drink made from curd and spices.,,5 min,None,Father – 1 glass; Mother – 1 glass; Daughter – 1 glass; Son – 1 glass,2 cups low-fat curd||2 cups water||Salt||Roasted cumin powder,"1. Blend curd with water.||2. Add salt and cumin, mix well.||3. Serve chilled.",Light and hydrating; good for digestion.,Cooling and probiotic-rich.,Buttermilk YouTube,"drink,curd,hydration"
17,Banana Shake,banana-shake,Drinks,Smooth banana milkshake with natural sweetness.,,5 min,None,Father – 1 glass; Mother – 1 glass; Daughter – 1 glass; Son – 1.5 glasses,2 ripe bananas||2 cups milk||1 tbsp honey or jaggery (optional),"1. Blend bananas, milk, and sweetener till smooth.||2. Serve chilled.","Father: Use low-fat milk, minimal sweetener.",Rich in potassium and natural energy.,Banana Shake YouTube Shorts,"banana,shake,drink"
18,Ragi Dosa,ragi-dosa,Breakfast,Nutritious ragi and moong dosa rich in protein.,,4 hours soaking + 15 min grinding,20 min,Father – 2 dosas; Mother – 2 dosas; Daughter – 2 dosas; Son – 3 dosas,1 cup ragi (finger millet)||½ cup green gram dal (moong dal)||¼ cup urad dal||4 green chilies (chopped)||1-inch ginger (chopped)||1 tsp cumin seeds||1 tsp rock salt||Water||Ghee/oil for cooking (use sparingly for father),"1. Soak ragi, moong dal, urad dal 4 hrs.||2. Grind half smooth with spices, then mix remaining coarse.||3. Spread on tawa, cook both sides till crisp.","Father: Use minimal ghee/oil, maintain low salt. Son: Normal ghee/oil allowed for energy.",Rich in iron and calcium from ragi. Protein-rich with moong dal aiding digestion.,Ragi Moong Dosa YouTube,"ragi,dosa,breakfast"
19,Vegetable Dosa,vegetable-dosa,Breakfast,Crispy dosa with colorful veggies.,,10 min,20 min,Father – 2; Mother – 2; Daughter – 2; Son – 3,"2 cups dosa batter||1 cup mixed chopped vegetables (carrot, beans, capsicum)||1 small onion (chopped)||1 green chili (chopped)||Oil for cooking","1. Mix vegetables and onion into batter.||2. Heat tawa, pour batter thin.||3. Drizzle oil and cook until crisp golden on both sides.","Father: Reduce oil, increase vegetables. Son: Normal oil usage.",Boosts fiber and vitamin intake. Promotes fullness and sustained energy.,Vegetable Dosa YouTube Shorts,"vegetable,dosa,breakfast"
20,Garlic Tomato Dosa,garlic-tomato-dosa,Breakfast,Tangy tomato-garlic flavored dosa.,,5 min,15 min,Father – 2; Mother – 2; Daughter – 2; Son – 3,2 cups dosa batter||1 medium tomato (chopped)||8 garlic cloves (minced)||1–2 green chilies (chopped)||Oil or ghee for cooking,"1. Mix tomato, garlic, chilies into batter.||2. Pour on tawa, cook both sides till crisp and golden.",Father: Use minimal oil; garlic aids heart health. Son: Moderate oil for flavor.,Garlic supports cardiovascular health. Tomatoes provide antioxidants.,Garlic Tomato Dosa YouTube,"garlic,tomato,dosa,breakfast"
21,Wheat Dosa,wheat-dosa,Breakfast,Wheat-based dosa rich in fiber and protein.,,10 min,20 min,Father – 2; Mother – 2; Daughter – 2; Son – 3,1 cup wheat flour||¼ cup rice flour||¼ cup semolina (rava)||½ tsp salt||½ tsp cumin seeds||1 tsp oil||Water as needed||Oil or ghee for cooking,"1. Mix flours, salt, cumin seeds, oil.||2. Add water gradually to make smooth batter.||3. Pour ladle on tawa and spread thin.||4. Drizzle oil and cook till crisp golden.","Father: Use minimal oil, reduce salt slightly. Son: Full oil allowed for energy.",Good source of fiber and complex carbs. Semolina adds iron and protein.,Wheat Dosa YouTube,"wheat,dosa,breakfast"
22,Ragi Puttu,ragi-puttu,Breakfast,"Steamed ragi flour with coconut, high in iron and calcium.",,5 min,15 min,Father – 1 cup; Mother – 1 cup; Daughter – 1 cup; Son – 1.5 cups,2 cups ragi flour||1 cup grated coconut (reduce for father)||Water as needed||Salt to taste,1. Mix ragi flour with water and salt to crumbly consistency.||2. Layer puttu maker with coconut and ragi flour alternately.||3. Steam 10-15 min till cooked.||4. Serve hot with banana or curry.,Father: Reduce coconut for lower fat. Son: Full coconut for energy.,Rich in iron and calcium. Low glycemic index for steady energy.,Ragi Puttu YouTube,"ragi,puttu,breakfast"
23,Ragi Idiyappam,ragi-idiyappam,Breakfast,"Soft steamed ragi noodles, light and easy to digest.",,10 min,10 min,Father – 1 serving; Mother – 1 serving; Daughter – 1 serving; Son – 1.5 servings,2 cups ragi flour||Hot water (about 1.5 cups)||Salt to taste,1. Mix hot water with ragi flour and salt to dough.||2. Press dough onto steamer plates.||3. Steam 8-10 min till done.||4. Serve with chutney or curry.,"Father: Low salt, low oil accompaniments. Son: Normal seasoning.",High fiber and minerals. Light and easy to digest.,Ragi Idiyappam YouTube,"ragi,idiyappam,breakfast"
24,Idli,idli,Breakfast,"Soft steamed rice cakes, probiotic and protein-rich.",,8 hr fermentation,12-15 min,Father – 2; Mother – 2; Daughter – 2; Son – 3,2 cups idli rice||½ cup urad dal||¼ tsp fenugreek seeds||Water||Salt to taste,1. Soak rice and dal 4-6 hrs.||2. Grind dal and fenugreek fluffy. Grind rice coarsely.||3. Mix with salt and ferment overnight.||4. Pour in molds and steam 12-15 min.||5. Serve with chutney and sambar.,Father: Low salt. Son & others: Normal.,Protein-rich and probiotic. Easy digestion and light meal.,Idli YouTube,"idli,breakfast"
25,Oats Upma,oats-upma,Breakfast,Nutritious oats cooked with vegetables and spices.,,5 min,15 min,Father – 1 bowl; Mother – 1 bowl; Daughter – 1 bowl; Son – 1.5 bowls,1 cup rolled oats||½ cup chopped onion||½ cup mixed veggies||1 tsp mustard seeds||1 green chili||1 tsp oil||Salt to taste,"1. Heat oil and mustard seeds, sauté chili and onions.||2. Add veggies, cook 3-4 min.||3. Add oats and water, cook till water absorbed.||4. Serve hot.",Father: Use minimal oil and salt. Son: Regular seasoning.,High fiber and heart healthy. Steady energy release.,Oats Upma YouTube,"oats,upma,breakfast"
26,Vegetable Upma,vegetable-upma,Breakfast,Rava cooked with mixed vegetables and spices.,,10 min,15 min,Father – 1 bowl; Mother – 1 bowl; Daughter – 1 bowl; Son – 1.5 bowls,1 cup semolina (rava)||1 cup mixed chopped vegetables||1 tsp mustard seeds||½ tsp ginger||1 green chili||1 tsp oil||Salt,"1. Dry roast rava till golden.||2. Heat oil, mustard, ginger, chili, add vegetables, sauté 3-4 min.||3. Add water, boil, add rava slowly stirring.||4. Cook covered till water absorbed, serve.",Father: Reduce oil and salt. Son: Normal seasoning.,Good source of carbs and vitamins. Light and easy to digest.,Vegetable Upma YouTube,"vegetable,upma,breakfast"
27,Appam,appam,Breakfast,"Fermented rice and coconut crepes, light and fluffy.",,12 hr fermentation,20 min,Father – 2; Mother – 2; Daughter – 2; Son – 3,2 cups raw rice||1 cup grated coconut||½ tsp yeast||½ tsp sugar||Salt,"1. Soak rice 4 hrs, grind with coconut to batter.||2. Add yeast, sugar, salt, ferment overnight.||3. Heat appam pan, pour and swirl batter.||4. Cover and cook 3-4 min till edges crisp.",Father: Low salt and moderate sugar. Son: Regular seasoning.,Good breakfast carb and fiber source. Light fermentation aids digestion.,Appam YouTube,"appam,breakfast"
28,Masala Oats Porridge,masala-oats-porridge,Breakfast,Spiced oats porridge with mixed vegetables.,,5 min,15 min,Father – 1 bowl; Mother – 1 bowl; Daughter – 1 bowl; Son – 1.5 bowls,"1 cup rolled oats||1 cup mixed vegetables (carrot, beans, peas)||1 tsp mustard seeds||½ tsp turmeric powder||½ tsp chili powder (optional)||1 tsp oil||3 cups water||Salt to taste","1. Heat oil, add mustard seeds, let splutter.||2. Add vegetables, turmeric, chili powder, sauté 3-4 min.||3. Add oats and water, cook till soft and thickened.||4. Add salt, stir and serve hot.",Father: Reduce salt and chili for heart health. Son: Regular seasoning okay.,High fiber and antioxidants from veggies and oats. Keeps blood sugar stable.,Masala Oats YouTube,"masala,oats,porridge,breakfast"
29,Oats with Fruits Porridge,oats-with-fruits-porridge,Breakfast,Nutritious oats porridge topped with fresh fruits and nuts.,,5 min,10 min,Father – 1 bowl; Mother – 1 bowl; Daughter – 1 bowl; Son – 1.5 bowls,"1 cup oats||2 cups milk or water||½ cup mixed fruits (banana, apple, berries)||1 tbsp nuts and seeds (optional)||Honey or jaggery to taste",1. Cook oats in milk or water till soft.||2. Top with chopped fruits and nuts.||3. Sweeten with honey/jaggery if desired.,Father: Use minimal sweetener. Son: Moderate sweetener allowed.,"Provides vitamins, fiber, and healthy fats. Balanced energy for the day.",Oats with Fruits YouTube Shorts,"oats,fruits,porridge,breakfast"
30,Ragi Porridge,ragi-porridge,Breakfast,Warm nutritious ragi porridge sweetened mildly.,,5 min,15 min,Father – 1 bowl; Mother – 1 bowl; Daughter – 1 bowl; Son – 1.5 bowls,1 cup ragi flour||4 cups water or milk||Jaggery or honey to taste||Cardamom powder (optional),"1. Mix ragi flour with water to paste.||2. Boil remaining water/milk, add ragi paste slowly stirring continuously.||3. Cook till thickened.||4. Sweeten and add cardamom if desired.||5. Serve warm.",Father: Limit sweetener. Son: Regular sweetness.,"Rich in calcium and iron. Satiates hunger, boosts energy.",Ragi Porridge YouTube,"ragi,porridge,breakfast"
31,Spinach Omelette,spinach-omelette,Breakfast,Protein-packed spinach and egg omelette.,,5 min,10 min,Father – 1 omelette (1 egg); Mother – 1 omelette (1 egg); Daughter – 1 omelette (1 egg); Son – 2 omelettes (2 eggs),"4 chapatis||4 eggs||Onion and green chili (chopped)||Salt, pepper||Oil for cooking","1. Beat eggs with salt, pepper, onion, chili.||2. Heat pan, add oil, pour mixture and cook.||3. Place cooked egg on chapati and roll.||4. Serve warm.",Father: Use less oil and salt. Son: Regular.,Balanced protein and carbs meal. Satiating and nutritious.,Spinach Omelette YouTube Short,"spinach,omelette,breakfast"
32,Tomato Chutney,tomato-chutney,Condiment,Tangy tomato chutney packed with antioxidants.,,5 min,15 min,4 servings,4 medium tomatoes (chopped)||2 tbsp oil||1 tsp mustard seeds||1 tsp urad dal||2 dried red chilies||1 onion (chopped)||1 tbsp tamarind paste or soaked tamarind||Salt to taste||1 tsp jaggery or sugar (optional)||Fresh coriander leaves (optional),"1. Heat oil, add mustard seeds, let splutter.||2. Add urad dal and red chilies, sauté golden.||3. Add onions, sauté till translucent.||4. Add tomatoes, cook till mushy and oil separates.||5. Add tamarind, salt, jaggery, cook 5 more minutes.||6. Cool and blend to chutney.||7. Garnish and serve.",Use less oil and salt for healthy version.,"High in antioxidants and vitamins, aids digestion.",https://youtu.be/YldAygqli2w?si=B05uHOTa7ij8Ol3x,"tomato,chutney"
33,Vegetable Stew,vegetable-stew,Breakfast,Creamy coconut-based vegetable stew rich in vitamins.,,10 min,20 min,Father – 1 bowl; Mother – 1 bowl; Daughter – 1 bowl; Son – 1.5 bowls,"2 cups mixed vegetables (carrots, beans, potatoes)||1 cup coconut milk||1 tsp mustard seeds||2-3 dried red chilies||Curry leaves||1 inch ginger||Salt to taste||1 tsp oil","1. Heat oil, add mustard, chilies, curry leaves, ginger.||2. Add vegetables, sauté 3-4 minutes.||3. Add coconut milk and water, simmer till tender.||4. Add salt, cook 5 more minutes. Serve hot.",Father: Low salt and oil. Others: Moderate seasoning.,"Rich in vitamins, minerals, healthy fats. Good for digestion and satiety.",Vegetable Stew YouTube,"vegetable,stew,breakfast"
34,Egg Curry,egg-curry,Lunch/Dinner,Spiced boiled eggs cooked in flavorful gravy.,,10 min,30 min,Father – 1 egg with gravy; Mother – 1 egg with gravy; Daughter – 1 egg with gravy; Son – 2 eggs with gravy,4 boiled eggs (peeled)||2 onions (chopped)||2 tomatoes (pureed)||1 tsp ginger-garlic paste||½ tsp turmeric||1 tbsp chili powder||1 tbsp coriander powder||1 tsp cumin seeds||1 tbsp oil||Salt to taste,"1. Heat oil, add cumin seeds, sauté onions and ginger-garlic paste.||2. Add tomato puree and spices, cook till oil separates.||3. Add boiled eggs, cook 10 mins low heat. Serve.",Father: Reduce chili and oil. Son: Regular seasoning.,High-quality protein. Rich in vitamins and minerals.,Egg Curry YouTube,"egg,curry"
35,Chicken Stew,chicken-stew,Lunch/Dinner,Light Kerala-style chicken stew with coconut milk.,,15 min,20-25 min,Father – 100g chicken; Mother – 125g chicken; Daughter – 125g chicken; Son – 150g chicken,"400-500g skinless chicken||1 onion (sliced)||1-2 potatoes (optional)||1 cup thin coconut milk||½ cup thick coconut milk||1-inch ginger (julienned)||2-3 green chilies (slit)||½ tsp pepper||Whole spices (cinnamon, cardamom, cloves)||Curry leaves||1 tbsp oil||Salt","1. Heat oil, add spices, ginger, chilies, onion sauté.||2. Add chicken, pepper, salt, cook 5 minutes.||3. Add thin coconut milk, potato, simmer till tender.||4. Add thick coconut milk, simmer 2-3 min (no boil).||5. Garnish with curry leaves.",Use max 1 tbsp oil. Minimal potatoes for heart health. Skinless chicken keeps fat low.,High protein supports recovery. Coconut milk offers healthy fats for brain & immunity.,Kerala Chicken Stew – https://youtu.be/FtRkDwWNgyE,"chicken,stew"
36,Wheat Kanji,wheat-kanji,Lunch,Simple warm porridge made from whole wheat grains.,,5 min,20 min,Father – 1 bowl; Mother – 1 bowl; Daughter – 1 bowl; Son – 1.5 bowls,1 cup wheat||4 cups water||Salt to taste,1. Wash wheat and soak 30 min.||2. Pressure cook or boil wheat in water till soft and mushy.||3. Add salt; stir well and serve warm.,Father: Keep salt low. Others: Normal seasoning.,"Easy to digest, gentle on the stomach. Slow-releasing carbs.",Wheat Kanji YouTube,"wheat,kanji,lunch,porridge"
37,Kadala Curry,kadala-curry,Lunch,Kerala-style black chickpea curry rich in protein.,,10 min soaking,40 min,Father – 1 bowl; Mother – 1 bowl; Daughter – 1 bowl; Son – 1.5 bowls,"1 cup black chickpeas (kadala) soaked overnight||1/2 cup grated coconut||1 onion (chopped)||2 green chilies||Spices (turmeric, coriander, cumin)||Salt and oil","1. Pressure cook soaked chickpeas till soft.||2. Grind coconut, green chilies, and spices to a smooth paste.||3. Heat oil, sauté onions, add ground paste, cook till aromatic.||4. Add chickpeas and salt, simmer 10 min. Serve hot.",Father: Reduce oil and salt. Others: Regular seasoning.,High protein and fiber. Supports heart and digestion.,Kadala Curry YouTube Shorts,"kadala,curry,lunch,protein"
38,Vegetable Curry,vegetable-curry,Lunch,Wholesome mixed vegetable curry with South Indian spices.,,10 min,25 min,Father – 1 bowl; Mother – 1 bowl; Daughter – 1 bowl; Son – 1.5 bowls,"2 cups mixed vegetables (carrot, beans, peas, cabbage)||1 onion (chopped)||2 tomatoes (chopped)||1 tsp mustard seeds||2 green chilies||1 tsp turmeric||1 tbsp coriander powder||1 tsp cumin powder||1 tsp oil||Salt to taste||Fresh coriander for garnish","1. Heat oil, add mustard seeds, let splutter.||2. Add onions and green chilies; sauté till soft.||3. Add tomatoes, turmeric, coriander, and cumin; cook till soft.||4. Add vegetables, salt, and 1 cup water; cover and cook till tender.||5. Garnish with coriander.",Father: Limit oil and salt. Son: Regular seasoning.,Rich in vitamins and antioxidants. High fiber aids digestion.,Vegetable Curry YouTube,"vegetable,curry,lunch,vegan"
39,Channa Curry,channa-curry,Lunch,Classic North Indian-style chickpea curry.,,10 min soaking,40 min,Father – 1 bowl; Mother – 1 bowl; Daughter – 1 bowl; Son – 1.5 bowls,1 cup chickpeas soaked overnight||1 onion (chopped)||2 tomatoes (chopped)||1 tsp ginger-garlic paste||1 tsp turmeric||1 tbsp coriander powder||1/2 tsp red chili powder||1 tsp cumin seeds||1 tbsp oil||Salt to taste,"1. Pressure cook soaked chickpeas till soft.||2. Heat oil, add cumin seeds, sauté onions & ginger-garlic till golden.||3. Add tomatoes & spices; cook till oil separates.||4. Add chickpeas and salt; simmer 10 minutes.",Father: Use less oil & salt. Son: Normal seasoning.,High in protein and fiber. Supports heart health.,Channa Curry YouTube,"channa,curry,lunch,protein"
40,Chicken Curry,chicken-curry,Lunch,Flavorful chicken curry rich in Indian spices.,,15 min,30 min,Father – 100g; Mother – 125g; Daughter – 125g; Son – 150g,"500g chicken pieces||1 chopped onion||2 chopped tomatoes||1 tbsp ginger-garlic paste||Spices: turmeric, coriander powder, chili powder||1 tbsp oil||Salt",1. Heat oil; sauté onions until golden.||2. Add ginger-garlic paste; cook 2 min.||3. Add tomatoes and spices; cook till oil separates.||4. Add chicken and salt; cover and simmer till cooked.,Father: Use minimal oil & chili. Others: Regular seasoning.,Protein-rich dish supporting muscle health and digestion.,https://youtu.be/RZuCoV8JO70?si=S6TmGPazTRpJhrGz,"chicken,curry,lunch,protein"
41,Sardine Curry,sardine-curry,Lunch,Traditional Kerala-style sardine curry with tamarind.,,15 min,25 min,Father – 2 sardines; Mother – 2 sardines; Daughter – 2 sardines; Son – 3 sardines,7-8 sardines (cleaned)||6 Malabar tamarind pieces||200g shallots (sliced)||3 tomatoes (chopped)||10-12 garlic cloves||1-inch ginger||3 green chilies||2 tbsp coconut oil||1 tsp fenugreek seeds||Curry leaves||Red chili powder||Turmeric||Salt to taste,"1. Heat coconut oil; add fenugreek, curry leaves, ginger, garlic, & chilies.||2. Add shallots & cook till soft.||3. Add chili powder, turmeric, tomatoes, & salt; cook well.||4. Add tamarind water, boil.||5. Add sardines; cook covered 8-10 min; garnish.",Father: Use minimal oil; reduce chili. Others: Regular spice.,Omega-3 rich; good for heart health. Tamarind aids digestion.,Kerala Style Sardine Curry,"sardine,curry,lunch,seafood"
42,Fish Peera,fish-peera,Lunch,"Kerala-style fish with coconut and tamarind, no frying.",,15 min,20-25 min,Father – 75g; Mother – 90g; Daughter – 90g; Son – 100g,350g fish||1 cup grated coconut||1 onion (sliced)||1 tomato (chopped)||6 garlic cloves||1-inch ginger||3 green chilies||1/2 tsp turmeric||1.5 tsp red chili powder||1/2 tsp pepper||1/2 tsp fenugreek seeds||1/2 cup kudampuli (tamarind) water||Curry leaves||Salt||1 tsp coconut oil,"1. Combine fish, coconut, onion, tomato, ginger, garlic, and spices in pot.||2. Add tamarind water and mix gently.||3. Cook covered 10-12 min.||4. Swirl pot (avoid stirring).||5. Add curry leaves & simmer 5-7 min; drizzle oil.",No frying; low oil and heart friendly.,Omega-3 source; aids digestion and gut comfort.,https://youtu.be/tVO-DuO586I,"fish,peera,lunch,kerala,seafood"
